投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,投诉时间,投诉状态
500036,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动变速器换挡异响顿挫明显,变速器:异响 变速器:顿挫 ,2020-07-23,信息审核
500031,吉利汽车,帝豪GS,2016款 1.3T 自动 领尚型 运动版,吉利帝豪GS车门生锈多次喷漆未解决,车身附件及电器:车身生锈 ,2020-07-23,信息审核
500025,广汽丰田,凯美瑞,2019款 2.0G 豪华版 国VI,广汽丰田凯美瑞机油增多有严重汽油味,发动机:机油增多 ,2020-07-23,信息审核
500023,上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱机电控制单元损坏,变速器:故障灯亮 变速器:滑阀箱故障 ,2020-07-23,信息审核
500021,东风日产,天籁,2019款 2.0L XL Upper 智行版,东风日产天籁发动机异响前减震器异响,发动机:异响 前后桥及悬挂系统:减震器异响 人员技术:多次返修 ,2020-07-23,信息审核
500013,一汽-大众,速腾,2014款 1.4TSI 自动 豪华型,一汽大众速腾变速箱加速无力急加速异响,变速器:异响 ,2020-07-23,信息审核
500011,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408发动机烧机油希望尽快解决,发动机:烧机油 ,2020-07-23,信息审核
500000,上汽大众,途观,2013款 1.8TSI 自动 四驱 豪华型,上汽大众途观天窗漏水导致底板被水浸泡,车身附件及电器:天窗漏水 ,2020-07-23,信息审核
499997,东风雪铁龙,雪铁龙C4L,2016款 1.6T 自动 精英型,东风雪铁龙C4L发动机失去动力厂家不保修,发动机:异响 发动机:动力消失 发动机:涡轮增压器故障 服务态度:不予索赔 ,2020-07-23,厂家受理
499995,英菲尼迪（进口）,英菲尼迪QX60,2016款 2.5T Hybrid 两驱 卓越版 国V,进口英菲尼迪QX60变速箱顿挫有异响,变速器:异响 变速器:顿挫 ,2020-07-23,信息审核
499992,一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L挂N挡和P挡时发动机抖动,发动机:抖动 ,2020-07-23,信息审核
499989,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡过颠簸路面时变速箱异响,变速器:异响 ,2020-07-23,信息审核
499988,长城汽车,WEY VV5,2020款 1.5T 两驱 颜先锋,WEY VV5挂挡后变速箱无动力输出,变速器:无法加速 ,2020-07-23,信息审核
499985,长城汽车,哈弗H2,2014款 1.5T 手动 两驱尊贵版 5座,哈弗H2车身生锈 转向异响希望处理,转向系统:异响 车身附件及电器:车身生锈 ,2020-07-23,信息审核
499984,东风标致,标致408,2019款 350THP 自动 尊贵版 国V,东风标致408行驶中发动机熄火要求解决,发动机:熄火 车身附件及电器:汽油泵故障 服务态度:不解决问题 ,2020-07-23,信息审核
499980,众泰汽车,众泰E200,2016款 纯电动 三门两座科技版,众泰E200电控单元故障导致无法启动,发动机:电驱动控制器故障 ,2020-07-23,信息审核
499979,华晨宝马,宝马X3,2020款 xDrive28i 豪华套装,华晨宝马X3防冻液渗漏严重希望处理,发动机:漏防冻液 发动机:冷却系统故障 ,2020-07-23,信息审核
499978,江淮汽车,瑞风S3,2015款 1.5L 手动 豪华智能尊享版,江淮瑞风S3车身大梁开裂生锈希望厂家解决,前后桥及悬挂系统:前后桥断裂 车身附件及电器:车身生锈 ,2020-07-23,厂家受理
499977,一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱机电单元出现故障,变速器:滑阀箱故障 变速器:电脑板故障 ,2020-07-23,信息审核
499974,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V低速行驶收油门时变速箱顿挫,变速器:顿挫 ,2020-07-23,信息审核
499972,长城汽车,WEY VV5,2017款 VV5 超豪型,WEY VV5反光镜折叠时异响厂家不予保修,车身附件及电器:后视镜故障 服务态度:不予索赔 ,2020-07-23,信息审核
499970,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾变速箱只有偶数挡行驶时顿挫,变速器:顿挫 变速器:无法换挡 ,2020-07-23,厂家受理
499968,宝马（进口）,宝马7系,2008款 730Li 3.0L 自动 经典版,进口宝马7系车顶漏水要求厂家尽快解决,车身附件及电器:车身漏水 ,2020-07-23,信息审核
499967,东南汽车,东南DX3,2018款 1.5L 手动 劲彩版,东南DX3方向管柱异响更换5次未解决,转向系统:异响 ,2020-07-23,信息审核
499966,北京奔驰,奔驰C级,2020款 C 260 L 运动版 4MATIC,北京奔驰C级4S店扣押随车物品强制购买保险,服务收费:强制购买 服务流程不完善:手续不齐 ,2020-07-23,信息审核
499963,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动起步时转向异响变速箱故障,转向系统:异响 ,2020-07-23,信息审核
499961,上汽大众,途观L,2018款 380TSI 自动 四驱 旗舰版,上汽大众途观L自适应巡航控制系统经常故障,车身附件及电器:定速巡航故障 ,2020-07-23,信息审核
499957,北京现代,悦动,2010款 1.6 手动 GL 舒适型,北京现代悦动仪表台开胶希望厂家处理,车身附件及电器:仪表台开裂 ,2020-07-23,信息审核
499952,上汽通用五菱,宝骏310,2016款 1.2L 手动 豪华型,宝骏310经销商定损维修后车身漆面生锈,车身附件及电器:车身生锈 车身附件及电器:漆面起泡开裂 车身附件及电器:车身有色差 人员技术:维修技术差 配件争议:使用非原厂件 ,2020-07-23,信息审核
499950,星途,星途TX,2019款 TXL 1.6T 两驱 铂金版,星途TX行驶中抖动加速共振希望厂家处理,车身附件及电器:车身共振 车身附件及电器:雨刮器故障 ,2020-07-23,信息审核
499949,东风标致,标致408,2014款 1.6T 自动 至尊版,东风标致408节温器故障导致发动机故障灯亮,发动机:冷却系统故障 ,2020-07-23,厂家受理
499945,东风雪铁龙,C4世嘉,2016款 1.6L 手动 舒适型,东风雪铁龙C4世嘉车内异味 发动机故障灯亮,发动机:故障灯亮 车身附件及电器:车内异味 ,2020-07-23,厂家受理
499944,长城汽车,哈弗H2s,2018款 1.5T 双离合 智尚型,哈弗H2s仪表台框架生锈希望尽快处理,车身附件及电器:车身生锈 ,2020-07-23,信息审核
499943,北京越野,北京BJ40,2018款 PLUS 2.3T 自动 四驱 旗舰型 国V,北京BJ40涡轮增压器故障导致无法使用,发动机:涡轮增压器故障 车身附件及电器:电路故障 ,2020-07-23,信息审核
499942,东风标致,标致408,2016款 1.6T 自动 豪华版,东风标致408固特异轮胎多处老化开裂,轮胎:开裂 ,2020-07-23,厂家受理
499939,吉利汽车,帝豪GS,2016款 1.8L 手动 领尚型 运动版,吉利帝豪GS离合器漏油不回弹无法使用,离合器:漏油 ,2020-07-23,信息审核
499938,英菲尼迪（进口）,英菲尼迪QX60,2018款 2.5T Hybrid 两驱 冠军家庭版,英菲尼迪QX60低速时变速箱抖动希望处理,变速器:抖动 ,2020-07-23,信息审核
499936,一汽-大众,迈腾,2015款 1.8TSI 领先型,一汽大众迈腾变速箱机电单元故障导致跳挡,变速器:电脑板故障 ,2020-07-23,厂家受理
499935,福田汽车,图雅诺,2019款 2.8T E5 厢货 4J28TC3,福田图雅诺运输事故车当新车卖要求解决,销售欺诈:出售问题车 ,2020-07-23,信息审核
499933,东风标致,标致308,2014款 乐享版 经典 1.6L 自动 优尚型,东风标致308碳罐堵塞导致油表显示不正确,车身附件及电器:油箱有缺陷 ,2020-07-23,厂家受理
499921,比亚迪,比亚迪e2,2019款 高续航版 创·尊贵型,比亚迪e2前挡风玻璃无故开裂4S店不予保修,车身附件及电器:玻璃开裂 服务态度:不予索赔 ,2020-07-23,厂家受理
499919,一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选致雅型,一汽大众奥迪A6L发动机抖动熄火希望处理,发动机:熄火 ,2020-07-23,信息审核
499918,一汽-大众,T-ROC探歌,2019款 280TSI DSG 两驱 舒适型 国VI,一汽大众探歌韩泰轮胎开裂希望厂家尽快解决,轮胎:开裂 ,2020-07-23,厂家受理
499916,长城汽车,哈弗H1,2017款 1.5L 手动 标准型 红标,哈弗H1发动机提速慢经销商销售库存车辆,发动机:无法提速 销售欺诈:出售库存车 ,2020-07-23,信息审核
499911,北京越野,北京BJ20,2016款 1.5T CVT 豪华型,北京BJ20天窗漏水严重4S店不予解决,车身附件及电器:天窗漏水 服务态度:不予索赔 ,2020-07-23,信息审核
499910,北京奔驰,奔驰C级,2020款 C 260 运动版,北京奔驰C级新车出现48V车载电力系统故障,发动机:故障灯亮 发动机:电动机故障 ,2020-07-23,信息审核
499909,一汽-大众,迈腾,2009款 1.8TSI DSG 舒适型,一汽大众迈腾车身漏水要求尽快处理,车身附件及电器:车身漏水 ,2020-07-23,厂家受理
499908,东风本田,本田XR-V,2017款 1.5L LXi CVT 经典版,东风本田XR-V冷启动发动机异响希望解决,发动机:异响 ,2020-07-23,信息审核
499905,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡变速箱顿挫异响厂家不回复,变速器:异响 变速器:顿挫 制动系统:异响 服务态度:不解决问题 服务态度:厂家不回复 ,2020-07-23,厂家受理
499899,一汽-大众,迈腾,2015款 1.8TSI 领先型,一汽大众迈腾车内异味越来越大影响驾驶,车身附件及电器:车内异味 ,2020-07-23,厂家受理
499898,北京奔驰,奔驰C级,2013款 180 经典型 Grand Edition,北京奔驰C级发动机凸轮轴调节器故障,发动机:异响 发动机:故障灯亮 ,2020-07-22,信息审核
499897,一汽-大众,速腾,2012款 1.4TSI DSG 豪华型,一汽大众速腾变速箱机电单元损坏,变速器:滑阀箱故障 ,2020-07-22,厂家受理
499894,宝马（进口）,宝马X4,2019款 2.0T xDrive25i M运动套装,进口宝马X4减震器漏油 4S店不解决问题,前后桥及悬挂系统:减震器漏油 服务态度:不解决问题 服务态度:态度蛮横 ,2020-07-22,信息审核
499891,吉利汽车,博瑞,2015款 1.8T 尊贵型,吉利博瑞转向失灵 气囊故障灯亮 怠速抖动,发动机:怠速不稳 转向系统:失灵 车身附件及电器:气囊故障 ,2020-07-22,信息审核
499884,华晨宝马,宝马3系,2020款 325Li M运动套装,华晨宝马3系低速行驶时下摆臂有断裂的现象,前后桥及悬挂系统:下摆臂故障 ,2020-07-22,信息审核
499882,奇瑞汽车,艾瑞泽EX,2019款 1.5L CVT 自在版 国V,奇瑞艾瑞泽EX驾驶侧车门内部有生锈的现象,车身附件及电器:车身生锈 ,2020-07-22,厂家受理
499881,一汽-大众奥迪,奥迪A4L,2018款 2.0T 时尚型 30周年年型,一汽大众奥迪A4L发动机怠速抖动转向异响,发动机:怠速不稳 转向系统:异响 ,2020-07-22,信息审核
499878,广汽本田,飞度,2016款 1.5L LX 手动 舒适型,广汽本田飞度行驶过程中变速箱有异响,变速器:异响 ,2020-07-22,厂家受理
499875,北京现代,现代ix35,2010款 2.0 自动 2WD 精英版 GLS,北京现代ix35发动机烧机油 拉缸要求处理,发动机:烧机油 发动机:拉缸 ,2020-07-22,信息审核
499874,广汽三菱,欧蓝德,2020款 2.4L 四驱 致享版 5座,广汽三菱欧蓝德发动机冷启动困难希望解决	,发动机:无法启动 ,2020-07-22,厂家受理
499873,北京现代,领动,2018款 1.4T 双离合 炫动·活力型,北京现代领动大灯起雾影响行车安全	,车身附件及电器:车灯进水 ,2020-07-22,信息审核
499864,一汽-大众,迈腾,2019款 330TSI DSG 豪华型 国VI,一汽大众迈腾购车后发现是冰雹车4S店不解决,销售欺诈:出售问题车 ,2020-07-22,厂家受理
499862,一汽-大众,捷达,2017款 1.4L 手动 时尚型,一汽大众捷达离合器沉重影响驾驶,离合器:沉重 ,2020-07-22,厂家受理
499859,北京现代,现代ix35,2019款 2.0L 自动 两驱 智勇·畅质版 国VI,北京现代ix35起步困难动力不足 电瓶亏电,变速器:无法加速 车身附件及电器:电瓶故障 ,2020-07-22,信息审核
499858,一汽-大众,探岳,2019款 330TSI 四驱 豪华型 国Ⅵ,一汽大众探岳升降挡时变速箱顿挫,变速器:顿挫 ,2020-07-22,厂家受理
499856,东风汽车,多利卡,2012款 136马力 4X2 载货车(EQ1081TZ12D5) L系列,东风多利卡购车后问题较多整车质量差,配件争议:配件质量差 ,2020-07-22,信息审核
499855,东风日产,逍客,2019款 2.0L CVT 智享版,东风日产逍客厂家承诺消暑基金不予兑现,承诺不兑现:销售承诺不兑现 ,2020-07-22,厂家受理
499854,凯翼汽车,凯翼X3,2016款 1.6L 手动 智联IV版,凯翼X3车机与宣传不一致 承诺保养未兑现,车身附件及电器:影音系统故障 车身附件及电器:门窗异响 车身附件及电器:中控台异响 车身附件及电器:座椅故障 承诺不兑现:销售承诺不兑现 销售欺诈:与宣传不符 ,2020-07-22,信息审核
499853,上汽大众,朗逸,2019款 1.5L 自动 视野版 国VI,上汽大众朗逸行驶中韩泰轮胎爆胎,轮胎:爆胎 ,2020-07-22,信息审核
499852,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾挂R挡时车身抖动异响,变速器:异响 变速器:抖动 ,2020-07-22,厂家受理
499851,奇瑞汽车,艾瑞泽7,2016款 1.6L 手动 智效致臻版,奇瑞艾瑞泽7天窗自动开启后关闭困难,车身附件及电器:天窗开关异常 ,2020-07-22,厂家受理
499850,一汽-大众,速腾,2020款 280TSI DSG 舒适型 国VI,一汽大众速腾挂挡时变速箱顿挫有异响,变速器:异响 变速器:顿挫 车身附件及电器:车身异响 车身附件及电器:座椅故障 ,2020-07-22,信息审核
499845,东风本田,哥瑞,2016款 1.5L CVT 经典版,东风本田哥瑞变速器漏油存在质量问题,变速器:漏油 ,2020-07-22,信息审核
499842,广汽丰田,雷凌,2019款 双擎 1.8H E-CVT 豪华版 国VI,广汽丰田雷凌低速行驶轻微转动方向盘异响,转向系统:异响 ,2020-07-22,信息审核
499839,江淮汽车,瑞风S3,2017款 1.5L 手动 豪华智能型,江淮瑞风S3轮胎吃胎 厂家不予索赔,前后桥及悬挂系统:吃胎偏磨 ,2020-07-22,厂家受理
499835,一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾电瓶没电希望尽快处理,车身附件及电器:电瓶故障 ,2020-07-22,厂家受理
499834,众泰汽车,众泰T700,2018款 1.8T 双离合 定制版,众泰T700厂家无配件无法解决车辆问题,配件争议:无零配件 ,2020-07-22,信息审核
499831,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳大灯乳白色车灯不亮,车身附件及电器:车灯不亮 ,2020-07-22,厂家受理
499829,一汽-大众,宝来,2020款 280TSI DSG 精英型,一汽大众宝来变速箱异响厂家拖延不处理,变速器:异响 服务态度:故意拖延 ,2020-07-22,厂家受理
499828,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70前后排座椅异响无法索赔,车身附件及电器:座椅故障 服务态度:不予索赔 ,2020-07-22,厂家受理
499826,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 都市版 国V,一汽丰田RAV4荣放座椅生锈4S店保养操不规范,车身附件及电器:车身生锈 人员技术:操作不规范 ,2020-07-22,信息审核
499818,北京现代,悦动,2018款 1.6L 自动 悦目版 GL 国V,北京现代悦动启动困难4S店无法解决,发动机:无法启动 ,2020-07-22,信息审核
499815,一汽-大众奥迪,奥迪Q3,2016款 30 TFSI 智领型 典藏版,一汽大众奥迪Q3电瓶亏电影响正常驾驶,车身附件及电器:电瓶故障 ,2020-07-22,信息审核
499814,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳车灯有阴影希望厂家处理问题,车身附件及电器:车灯不亮 ,2020-07-22,厂家受理
499812,猎豹汽车,猎豹CS9,2017款 1.5L CVT 舒适型,猎豹CS9变速箱异响 4S店保养不规范,发动机:功率不足 变速器:异响 制动系统:刹车偏软 车身附件及电器:电瓶故障 人员技术:操作不规范 ,2020-07-22,信息审核
499805,广汽乘用车,传祺GM6,2019款 270T 自动 尊荣版（七座）国VI,广汽传祺GM6电瓶故障导致发动机启动困难,车身附件及电器:电瓶故障 ,2020-07-22,信息审核
499798,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动时发动机异响,发动机:异响 ,2020-07-22,厂家受理
499796,上汽通用五菱,五菱宏光,2019款 1.5L S 基本型 国VI LAR,上汽通用五菱宏光变速箱间隙大噪音严重	,变速器:异响 ,2020-07-22,信息审核
499792,一汽吉林,森雅R9,2018款 1.2T 自动 旗舰智享型,一汽吉林森雅R9中控屏无货希望处理,车身附件及电器:影音系统故障 配件争议:无零配件 ,2020-07-22,信息审核
499780,上汽集团,荣威360,2017款 1.5L 手动 豪华版,上汽荣威360刹车疲软 发动机报警抖动噪音大,发动机:抖动 发动机:故障灯亮 发动机:噪音大 制动系统:刹车偏软 ,2020-07-22,厂家受理
499779,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版Pro,一汽大众探岳座椅加热无法关闭 车联网故障,发动机:故障灯亮 车身附件及电器:电瓶故障 车身附件及电器:车载互联故障 车身附件及电器:座椅故障 ,2020-07-22,厂家受理
499778,东风标致,标致408,2018款 350THP 自动 豪华版,东风标致408贷款购车无法办理解押,服务流程不完善:手续不齐 ,2020-07-22,厂家受理
499774,华晨鑫源,海狮X30L,2019款 1.5L 厢货 财富版 国VI SWC15M,金杯海狮X30L方向助力失灵不予质保,转向系统:打方向沉重 ,2020-07-22,信息审核
499773,BEIJING汽车,BEIJING-EU5,2018款 EU5 R500 智风版,BEIJING EU5轮胎吃胎偏磨希望尽快处理,前后桥及悬挂系统:吃胎偏磨 ,2020-07-22,厂家受理
499772,北京汽车制造厂,BJ 212,2020款 1.5T 方门 硬顶,北汽制造BJ 212车身生锈并且开裂,车身附件及电器:车身生锈 车身附件及电器:部件开裂 ,2020-07-22,信息审核
499771,众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9变速箱挂入D挡之后无法行驶	,变速器:无法加速 服务态度:厂家不回复 ,2020-07-22,厂家受理
499770,东风启辰,启辰T90,2018款 2.0L CVT 智联智尚版 国VI,启辰T90开内循环加速时空调存在异味,车身附件及电器:空调异味 ,2020-07-22,信息审核
499761,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯透镜发白影响照明,车身附件及电器:车灯不亮 ,2020-07-22,厂家受理
